NUM ITERATIONS:	4381
FINAL VALUES:	3.8994e-05	0	0	
writing to: output_1.txt

V1(t) and V2(t) have finished calculating and is located in output_1.txt

Begin parameter extraction for a2/a1, tau1, tau2
1.51567e+173 -1.99473e-05 5e-08
1.49161e+173 -1.99465e-05 5e-08
1.46793e+173 -1.99457e-05 5e-08
1.44463e+173 -1.99449e-05 5e-08
1.4217e+173 -1.99441e-05 5e-08
1.39914e+173 -1.99433e-05 5e-08
1.37693e+173 -1.99425e-05 5e-08
1.35507e+173 -1.99417e-05 5e-08
1.33357e+173 -1.99409e-05 5e-08
1.3124e+173 -1.99401e-05 5e-08
1.29157e+173 -1.99393e-05 5e-08
1.27107e+173 -1.99385e-05 5e-08
1.25089e+173 -1.99377e-05 5e-08
1.2115e+173 -1.99361e-05 5e-08
1.17334e+173 -1.99345e-05 5e-08
1.13639e+173 -1.99329e-05 5e-08
1.1006e+173 -1.99313e-05 5e-08
1.06594e+173 -1.99297e-05 5e-08
1.03237e+173 -1.99281e-05 5e-08
9.99856e+172 -1.99265e-05 5e-08
9.68367e+172 -1.99249e-05 5e-08
9.3787e+172 -1.99233e-05 5e-08
9.08333e+172 -1.99217e-05 5e-08
8.79727e+172 -1.99201e-05 5e-08
8.52021e+172 -1.99185e-05 5e-08
8.25188e+172 -1.99169e-05 5e-08
7.74031e+172 -1.99137e-05 5e-08
7.26045e+172 -1.99105e-05 5e-08
6.81033e+172 -1.99073e-05 5e-08
6.38813e+172 -1.99041e-05 5e-08
5.9921e+172 -1.99009e-05 5e-08
5.62062e+172 -1.98977e-05 5e-08
5.27217e+172 -1.98945e-05 5e-08
4.63873e+172 -1.98881e-05 5e-08
4.0814e+172 -1.98817e-05 5e-08
3.59104e+172 -1.98753e-05 5e-08
2.77997e+172 -1.98625e-05 5e-08
2.15209e+172 -1.98497e-05 5e-08
1.28974e+172 -1.98241e-05 5e-08
7.72936e+171 -1.97985e-05 5e-08
2.77604e+171 -1.97473e-05 5e-08
3.58089e+170 -1.96449e-05 5e-08
4.61908e+169 -1.95425e-05 5e-08
1.65897e+169 -1.94913e-05 5e-08
9.94213e+168 -1.94657e-05 5e-08
7.69662e+168 -1.94529e-05 5e-08
6.7719e+168 -1.94465e-05 5e-08
